file,line,column,type,code,message,docs,severity,link
imagina-updater-server.php,0,0,WARNING,plugin_header_nonexistent_domain_path,"La cabecera «Domain Path» en el archivo del plugin debe apuntar a una carpeta existente. Encontrado: «languages»",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#domain-path,6,
imagina-updater-server.php,116,9,ERROR,PluginCheck.CodeAnalysis.DiscouragedFunctions.load_plugin_textdomainFound,"load_plugin_textdomain() has been discouraged since WordPress version 4.6. Cuando tu plugin está alojado en WordPress.org, ya no necesitas incluir manualmente esta llamada a la función de traducción en el slug de tu plugin. WordPress cargará automáticamente las traducciones cuando sea necesario.",https://make.wordpress.org/core/2016/07/06/i18n-improvements-in-4-6/,7,
README.md,0,0,ERROR,outdated_tested_upto_header,"Probado hasta: 6.4 < 6.9. El valor «Tested up to» de tu plugin no está establecido a la versión actual de WordPress. Esto significa que tu plugin no se mostrará en las búsquedas, ya que requerimos que los plugins sean compatibles y esté documentado que están probados en la versión más reciente de WordPress.",https://developer.wordpress.org/plugins/wordpress-org/how-your-readme-txt-works/#readme-header-information,7,
README.md,0,0,ERROR,readme_short_description_non_official_language,"La descripción corta del readme contiene un idioma no oficial. Debe estar escrita en inglés estándar.",https://make.wordpress.org/plugins/2025/07/28/requiring-the-readme-to-be-written-in-english/,6,
README.md,0,0,ERROR,readme_description_non_official_language,"La descripción del readme contiene un idioma no oficial. Debe estar escrita en inglés estándar.",https://make.wordpress.org/plugins/2025/07/28/requiring-the-readme-to-be-written-in-english/,6,
admin/class-admin.php,562,51,WARNING,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,"Detected usage of a possibly undefined superglobal array index: $_FILES[&#039;plugin_file&#039;][&#039;error&#039;]. Check that the array index exists before using it.",,5,
admin/class-admin.php,569,29,WARNING,WordPress.Security.ValidatedSanitizedInput.InputNotValidated,"Detected usage of a possibly undefined superglobal array index: $_FILES[&#039;plugin_file&#039;][&#039;error&#039;]. Check that the array index exists before using it.",,5,
admin/class-admin.php,600,76,WARNING,WordPress.Security.ValidatedSanitizedInput.InputNotSanitized,"Detected usage of a non-sanitized input variable: $_FILES[&#039;plugin_file&#039;]",,5,
admin/class-admin.php,891,26,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,891,26,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,892,27,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,892,27,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,893,36,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,893,36,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,894,28,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,894,28,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,897,25,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,897,25,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,898,30,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,898,30,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,901,27,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,901,27,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,902,28,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,902,28,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,905,28,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,905,28,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,915,34,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,915,34,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,920,49,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,920,49,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,925,17,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,925,17,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,925,24,WARNING,PluginCheck.Security.DirectDB.UnescapedDBParameter,"Unescaped parameter $table_licenses used in $wpdb-&gt;get_var(&quot;SHOW TABLES LIKE &#039;$table_licenses&#039;&quot;)\n$table_licenses assigned unsafely at line 924:\n $table_licenses = $wpdb-&gt;prefix . &#039;imagina_license_keys&#039;",,5,
admin/class-admin.php,925,32,WARNING,WordPress.DB.PreparedSQL.InterpolatedNotPrepared,"Use placeholders and $wpdb-&gt;prepare(); found interpolated variable $table_licenses at &quot;SHOW TABLES LIKE &#039;$table_licenses&#039;&quot;",,5,
admin/class-admin.php,926,59,WARNING,PluginCheck.Security.DirectDB.UnescapedDBParameter,"Unescaped parameter $table_licenses used in $wpdb-&gt;get_var(&quot;SELECT COUNT(*) FROM $table_licenses&quot;)\n$table_licenses assigned unsafely at line 924:\n $table_licenses = $wpdb-&gt;prefix . &#039;imagina_license_keys&#039;\n$license_stats[&#039;total_licenses&#039;] assigned unsafely at line 926:\n $license_stats[&#039;total_licenses&#039;] = $wpdb-&gt;get_var(&quot;SELECT COUNT(*) FROM $table_licenses&quot;)",,5,
admin/class-admin.php,926,67,WARNING,WordPress.DB.PreparedSQL.InterpolatedNotPrepared,"Use placeholders and $wpdb-&gt;prepare(); found interpolated variable $table_licenses at &quot;SELECT COUNT(*) FROM $table_licenses&quot;",,5,
admin/class-admin.php,927,53,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,927,53,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,927,60,WARNING,PluginCheck.Security.DirectDB.UnescapedDBParameter,"Unescaped parameter $table_licenses used in $wpdb-&gt;get_var(&quot;SELECT COUNT(*) FROM $table_licenses WHERE status = &#039;active&#039;&quot;)\n$table_licenses assigned unsafely at line 924:\n $table_licenses = $wpdb-&gt;prefix . &#039;imagina_license_keys&#039;\n$license_stats[&#039;total_licenses&#039;] assigned unsafely at line 926:\n $license_stats[&#039;total_licenses&#039;] = $wpdb-&gt;get_var(&quot;SELECT COUNT(*) FROM $table_licenses&quot;)",,5,
admin/class-admin.php,927,68,WARNING,WordPress.DB.PreparedSQL.InterpolatedNotPrepared,"Use placeholders and $wpdb-&gt;prepare(); found interpolated variable $table_licenses at &quot;SELECT COUNT(*) FROM $table_licenses WHERE status = &#039;active&#039;&quot;",,5,
admin/class-admin.php,928,54,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,928,54,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,928,61,WARNING,PluginCheck.Security.DirectDB.UnescapedDBParameter,"Unescaped parameter $table_licenses used in $wpdb-&gt;get_var(&quot;SELECT COUNT(*) FROM $table_licenses WHERE status = &#039;expired&#039;&quot;)\n$table_licenses assigned unsafely at line 924:\n $table_licenses = $wpdb-&gt;prefix . &#039;imagina_license_keys&#039;\n$license_stats[&#039;total_licenses&#039;] assigned unsafely at line 926:\n $license_stats[&#039;total_licenses&#039;] = $wpdb-&gt;get_var(&quot;SELECT COUNT(*) FROM $table_licenses&quot;)",,5,
admin/class-admin.php,928,69,WARNING,WordPress.DB.PreparedSQL.InterpolatedNotPrepared,"Use placeholders and $wpdb-&gt;prepare(); found interpolated variable $table_licenses at &quot;SELECT COUNT(*) FROM $table_licenses WHERE status = &#039;expired&#039;&quot;",,5,
admin/class-admin.php,929,54,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,929,54,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,929,61,WARNING,PluginCheck.Security.DirectDB.UnescapedDBParameter,"Unescaped parameter $table_licenses used in $wpdb-&gt;get_var(&quot;SELECT COUNT(*) FROM $table_licenses WHERE status = &#039;revoked&#039;&quot;)\n$table_licenses assigned unsafely at line 924:\n $table_licenses = $wpdb-&gt;prefix . &#039;imagina_license_keys&#039;\n$license_stats[&#039;total_licenses&#039;] assigned unsafely at line 926:\n $license_stats[&#039;total_licenses&#039;] = $wpdb-&gt;get_var(&quot;SELECT COUNT(*) FROM $table_licenses&quot;)",,5,
admin/class-admin.php,929,69,WARNING,WordPress.DB.PreparedSQL.InterpolatedNotPrepared,"Use placeholders and $wpdb-&gt;prepare(); found interpolated variable $table_licenses at &quot;SELECT COUNT(*) FROM $table_licenses WHERE status = &#039;revoked&#039;&quot;",,5,
admin/class-admin.php,933,21,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,
admin/class-admin.php,933,21,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,
admin/class-admin.php,933,28,WARNING,PluginCheck.Security.DirectDB.UnescapedDBParameter,"Unescaped parameter $table_activations used in $wpdb-&gt;get_var(&quot;SHOW TABLES LIKE &#039;$table_activations&#039;&quot;)\n$table_activations assigned unsafely at line 932:\n $table_activations = $wpdb-&gt;prefix . &#039;imagina_license_activations&#039;",,5,
